"study","SID","CE_attitudes","IAF_autonomous","IAF_controlled","politics_party","vote_intention_register","vote_intention_vote","vote_motive_autonomous","vote_motive_controlled","behavior_voting","CE_checklist","already_voted","autonomous_identified","autonomous_integrated","autonomous_intrinsic","controlled_external","controlled_introjected"
"2020_general","gotv_2020_mturk_s001",5.25,3.8,3.8,1,6,7,5.33333333333333,5.5,NA,15,0,"6","5","5","6","5"
"2020_general","gotv_2020_mturk_s002",4.5,4,1.6,6,8,7,4.66666666666667,1,NA,1,1,"6","7","1","1","1"
"2020_general","gotv_2020_mturk_s003",6.5,4.4,4.4,7,7,6,6.33333333333333,6.5,NA,17,0,"7","6","6","7","6"
"2020_general","gotv_2020_mturk_s004",5.625,3.6,3.8,7,7,6,5.66666666666667,5.5,NA,14,0,"5","6","6","6","5"
"2020_general","gotv_2020_mturk_s005",4.625,3.6,3.2,6,6,7,4.33333333333333,4.5,NA,10,0,"4","3","6","4","5"
"2020_general","gotv_2020_mturk_s007",6.25,4.6,4.2,7,8,7,6.66666666666667,5.5,NA,14,0,"7","7","6","5","6"
"2020_general","gotv_2020_mturk_s008",5.75,4,1.8,6,8,7,5.33333333333333,2.5,NA,8,1,"7","7","2","1","4"
"2020_general","gotv_2020_mturk_s009",4.5,3.4,2.8,6,5,5,4.33333333333333,5,NA,10,0,"4","4","5","4","6"
"2020_general","gotv_2020_mturk_s010",6.25,3.8,2.4,2,8,7,3.33333333333333,3,NA,5,1,"7","2","1","1","5"
"2020_general","gotv_2020_mturk_s011",3.5,4,1.6,7,8,7,4,2,NA,2,1,"6","4","2","2","2"
"2020_general","gotv_2020_mturk_s012",4.125,3.2,3.6,6,7,5,4.66666666666667,4.5,NA,10,0,"4","5","5","5","4"
"2020_general","gotv_2020_mturk_s013",5.125,4.2,2,6,8,7,4,4,NA,5,1,"5","6","1","2","6"
"2020_general","gotv_2020_mturk_s014",6.25,4,3.6,1,7,6,6.33333333333333,4.5,NA,9,0,"6","7","6","2","7"
"2020_general","gotv_2020_mturk_s015",4.375,4.6,1.4,1,8,7,5,1,NA,6,1,"7","7","1","1","1"
"2020_general","gotv_2020_mturk_s016",5,5,1,1,8,7,4.66666666666667,1,NA,0,1,"7","6","1","1","1"
"2020_general","gotv_2020_mturk_s017",6.25,4.6,2.4,3,8,7,5.66666666666667,2.5,NA,5,1,"6","7","4","3","2"
